timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1578177451.359,21.973,-5.371,33.203,75.195,49.805,0
1578177451.363,28.320,-13.672,16.113,82.031,55.176,0
1578177451.367,31.250,-5.371,11.230,88.379,16.602,0
1578177451.371,33.203,4.883,30.762,85.449,-29.785,0
1578177451.375,40.039,2.930,41.504,89.355,30.273,0
1578177451.379,22.949,-0.488,10.742,85.449,61.523,0
1578177451.383,20.508,-7.324,-2.441,69.824,55.664,0
1578177451.386,26.855,-8.301,31.250,65.430,35.645,0
1578177451.390,9.766,-2.441,30.273,60.059,31.250,0
1578177451.394,8.789,-5.859,7.324,62.500,36.133,0
1578177451.398,18.555,-1.953,5.859,77.637,19.043,0
1578177451.402,10.742,-1.465,20.996,79.102,-14.648,0
1578177451.419,10.742,-10.254,38.574,69.824,6.836,0
1578177451.423,20.508,-11.719,38.574,69.336,34.180,0
1578177451.427,20.020,0.000,27.832,74.219,-9.277,0
1578177451.431,20.020,8.789,30.273,77.637,8.301,0
1578177451.435,35.645,-0.488,40.527,80.566,26.367,0
1578177451.439,26.367,-14.160,33.203,75.195,21.484,0
1578177451.443,8.789,-27.344,23.438,66.406,78.125,0
1578177451.446,12.695,-27.344,21.484,68.359,54.199,0
1578177451.450,5.371,-5.859,19.043,66.895,-5.371,0
1578177451.454,0.488,4.883,9.766,56.641,41.504,0
1578177451.458,0.977,4.883,20.020,56.152,100.586,0
1578177451.462,-0.488,12.207,21.973,56.641,56.641,0
1578177451.464,6.836,17.090,14.160,53.223,-10.254,0
1578177451.468,16.113,13.672,35.645,61.035,43.457,0
1578177451.472,20.996,-2.930,31.738,62.012,76.172,0
1578177451.476,19.043,-14.160,7.812,58.594,4.883,0
1578177451.480,25.391,-2.441,22.461,77.148,-21.973,0
1578177451.484,18.066,10.254,38.574,75.195,-4.395,0
1578177451.488,7.812,17.090,21.973,42.969,-25.879,0
1578177451.491,6.836,14.160,12.695,39.062,-47.363,0
1578177451.495,-1.465,15.625,7.324,50.293,-59.082,0
1578177451.499,0.977,16.113,18.066,49.805,-25.391,0
1578177451.503,6.836,1.465,37.598,49.316,13.184,0
1578177451.507,13.184,-3.906,23.438,55.664,-22.461,0
1578177451.509,3.906,5.371,22.949,50.293,-8.789,0
1578177451.513,-2.441,9.766,38.086,47.852,23.438,0
1578177451.517,7.812,4.395,47.363,57.129,-49.316,0
1578177451.521,12.695,11.230,32.715,60.059,-73.730,0
1578177451.525,2.441,16.602,15.625,48.340,-43.457,0
1578177451.529,4.883,13.672,27.344,44.922,34.180,0
1578177451.533,17.090,14.160,38.086,55.176,42.480,0
1578177451.536,12.695,15.137,24.902,60.547,-35.645,0
1578177451.540,15.137,10.742,3.906,52.734,0.000,0
1578177451.544,19.043,-5.859,23.926,43.945,47.363,0
1578177451.548,10.254,-5.859,52.246,57.617,20.508,0
1578177451.552,12.695,3.906,33.203,59.082,37.109,0
1578177451.555,17.090,6.836,11.230,54.688,-31.250,0
1578177451.559,22.949,16.602,23.438,67.871,-24.414,0
1578177451.563,25.879,26.367,45.410,71.777,44.922,0
1578177451.567,11.719,20.508,32.715,61.523,26.855,0
1578177451.571,14.160,12.207,7.812,59.570,-11.719,0
1578177451.575,21.973,16.602,14.160,64.941,17.578,0
1578177451.579,9.766,23.926,36.133,60.059,28.809,0
1578177451.582,-2.441,23.926,23.438,45.410,19.043,0
1578177451.586,-3.906,16.602,6.348,38.574,134.766,0
1578177451.590,-7.812,15.625,25.391,38.574,159.668,0
1578177451.594,8.301,27.344,29.297,43.457,42.480,0
1578177451.598,19.043,27.344,36.621,41.992,85.938,0
1578177451.599,9.766,28.320,31.250,41.504,116.699,0
