timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1578178698.834,12.207,32.715,-53.223,51.758,-13.184,0
1578178698.838,-12.695,36.621,-47.852,48.340,9.766,0
1578178698.842,-16.113,36.621,-29.785,48.828,32.227,0
1578178698.846,-3.906,36.133,-30.273,59.082,-14.648,0
1578178698.850,13.184,38.574,-34.180,53.223,40.039,0
1578178698.854,10.742,38.086,-26.855,53.223,69.336,0
1578178698.858,2.930,38.574,-8.789,46.875,29.297,0
1578178698.861,21.973,33.691,-2.441,38.574,0.977,0
1578178698.865,36.133,34.180,-18.066,46.387,22.461,0
1578178698.869,-7.812,33.691,-19.043,45.898,54.688,0
1578178698.873,-35.156,36.133,15.137,40.527,76.172,0
1578178698.877,-5.859,43.945,15.625,47.852,32.227,0
1578178698.879,28.809,43.945,4.395,47.363,11.230,0
1578178698.883,9.766,37.109,3.906,52.734,24.414,0
1578178698.887,-23.438,27.344,15.137,50.293,34.668,0
1578178698.891,-16.113,14.160,6.836,43.457,53.223,0
1578178698.895,23.926,16.113,-5.371,62.500,93.262,0
1578178698.899,27.344,20.996,-20.020,59.082,79.590,0
1578178698.903,-16.113,20.508,-10.254,46.875,60.059,0
1578178698.906,-12.207,21.484,2.930,44.434,23.438,0
1578178698.910,27.832,20.020,-26.855,39.062,0.977,0
1578178698.914,16.602,27.344,-13.184,55.176,19.531,0
1578178698.918,-14.648,35.156,20.508,51.270,18.555,0
1578178698.922,-25.879,25.391,12.207,34.180,21.973,0
1578178698.924,-14.160,17.090,4.395,42.480,56.641,0
1578178698.928,14.648,11.230,7.324,52.246,10.742,0
1578178698.932,9.766,1.465,11.719,51.758,-7.812,0
1578178698.936,-27.344,0.488,6.836,42.969,55.176,0
1578178698.940,-11.719,5.371,5.859,48.340,57.129,0
1578178698.944,25.879,16.113,7.324,65.430,18.555,0
1578178698.948,22.949,28.320,21.484,68.359,26.855,0
1578178698.951,3.418,31.738,20.996,61.523,51.758,0
1578178698.955,4.395,25.391,8.301,50.781,50.293,0
1578178698.959,10.254,29.785,20.508,58.594,-15.625,0
1578178698.963,14.160,39.062,14.648,60.059,-21.973,0
1578178698.967,-5.371,39.551,12.207,49.805,37.598,0
1578178698.969,-11.230,34.668,9.766,62.500,24.902,0
1578178698.973,20.020,35.645,1.465,68.359,12.207,0
1578178698.977,36.621,35.156,-12.695,52.246,58.594,0
1578178698.981,12.695,30.273,-5.859,46.875,78.125,0
1578178698.985,-14.160,27.344,13.184,57.129,71.777,0
1578178698.989,-5.371,22.461,3.418,59.082,56.641,0
1578178698.993,22.949,20.996,10.254,54.688,43.945,0
1578178698.996,13.672,26.855,13.184,55.664,76.660,0
1578178699.000,-11.230,40.039,38.574,60.059,47.363,0
1578178699.004,-3.906,37.598,60.547,44.434,2.930,0
1578178699.008,27.832,24.414,31.738,34.180,43.945,0
1578178699.012,15.625,21.973,22.461,45.898,0.977,0
1578178699.014,-14.160,32.715,47.852,47.852,-2.441,0
1578178699.018,0.977,24.414,56.641,52.246,22.949,0
1578178699.022,34.180,20.996,34.668,48.340,3.418,0
1578178699.026,33.203,33.203,31.250,49.316,49.316,0
1578178699.030,0.977,33.691,39.062,62.012,-0.977,0
1578178699.034,-7.812,41.504,41.504,62.988,-14.648,0
1578178699.038,7.324,53.223,23.926,64.453,28.809,0
1578178699.041,27.832,54.199,19.531,50.781,33.691,0
1578178699.045,11.719,47.363,56.152,33.203,42.969,0
1578178699.049,-17.578,51.270,44.434,36.621,-9.766,0
1578178699.053,3.418,51.758,28.809,50.781,13.672,0
1578178699.057,29.785,46.387,25.879,60.059,-11.230,0
1578178699.059,16.113,49.316,28.809,52.246,-37.598,0
1578178699.063,6.348,44.434,34.668,58.594,38.086,0
1578178699.067,6.836,44.434,31.738,63.965,57.617,0
1578178699.071,20.996,52.246,21.484,44.922,33.691,0
1578178699.075,20.508,40.039,15.137,50.293,13.672,0
1578178699.079,-19.043,24.902,20.020,55.176,30.762,0
1578178699.083,-2.930,26.855,8.301,44.434,45.898,0
1578178699.086,33.691,34.180,21.973,44.434,49.805,0
1578178699.090,6.836,35.645,41.992,57.129,45.410,0
1578178699.094,-10.742,34.180,28.320,65.430,43.457,0
1578178699.098,-5.371,32.715,34.668,66.406,83.496,0
1578178699.102,4.395,32.715,29.297,55.176,34.668,0
1578178699.104,9.277,36.133,23.926,44.434,-39.551,0
1578178699.108,4.883,38.086,26.855,50.293,32.715,0
1578178699.112,-6.348,38.574,30.273,63.965,45.410,0
1578178699.116,9.766,44.922,41.992,58.105,8.301,0
1578178699.120,37.109,33.691,27.344,37.598,34.668,0
1578178699.124,26.367,18.066,2.441,36.621,64.941,0
1578178699.128,-18.555,23.438,12.207,44.434,95.703,0
1578178699.131,-15.625,30.762,48.340,56.641,57.617,0
1578178699.135,20.020,32.715,46.387,50.293,13.184,0
1578178699.139,20.020,42.969,31.250,34.180,26.367,0
1578178699.143,2.441,58.105,34.668,36.621,17.090,0
1578178699.147,0.488,49.805,43.457,53.223,-0.977,0
1578178699.164,5.859,33.203,26.367,52.734,29.785,0
1578178699.168,11.719,32.227,20.996,51.758,40.039,0
1578178699.172,5.859,38.086,33.203,53.711,-5.859,0
1578178699.176,-4.883,37.109,30.762,45.410,22.461,0
1578178699.180,10.254,41.504,11.719,44.922,13.184,0
1578178699.184,31.738,46.875,-6.836,49.805,53.711,0
1578178699.188,-2.930,44.922,0.000,43.457,59.082,0
1578178699.191,-31.250,39.062,14.648,39.062,-27.832,0
1578178699.195,-6.836,36.133,5.371,38.086,-45.410,0
1578178699.199,22.949,32.227,-26.367,27.832,-15.137,0
1578178699.203,21.484,28.809,-5.371,38.574,25.391,0
1578178699.207,6.348,22.461,17.578,56.152,-37.109,0
1578178699.209,-1.465,10.254,-4.883,46.875,-98.145,0
1578178699.213,2.930,15.137,-11.230,44.434,-57.617,0
1578178699.217,15.625,32.227,2.930,68.359,-35.156,0
1578178699.221,-12.695,34.180,-3.906,66.895,-4.883,0
1578178699.225,-24.902,26.855,-10.742,42.969,-1.465,0
1578178699.229,17.578,24.414,-5.859,35.156,20.508,0
1578178699.233,30.762,34.180,4.395,39.062,19.043,0
1578178699.236,-0.488,27.344,17.578,39.551,5.371,0
1578178699.240,-9.277,15.625,-6.348,36.133,-8.301,0
1578178699.244,6.836,26.367,-12.695,44.922,15.625,0
1578178699.248,16.602,29.785,6.348,48.340,15.625,0
1578178699.252,2.930,28.320,-2.441,41.992,-20.508,0
1578178699.254,-7.812,35.156,4.883,57.129,41.016,0
1578178699.258,9.277,24.414,1.465,62.988,43.945,0
1578178699.262,16.113,16.113,-4.883,59.570,5.371,0
1578178699.266,15.137,25.391,0.000,59.570,-32.227,0
1578178699.270,-2.441,30.762,14.648,61.035,-20.020,0
1578178699.274,2.930,21.484,20.996,61.035,55.176,0
1578178699.278,28.809,9.766,11.230,68.848,3.418,0
1578178699.281,16.113,8.301,16.602,60.059,-38.086,0
1578178699.285,-11.719,4.395,15.137,41.992,38.086,0
1578178699.289,-16.113,0.977,33.203,49.316,45.898,0
1578178699.293,11.719,4.395,36.133,52.734,-7.812,0
1578178699.297,17.578,1.953,7.324,52.734,-45.898,0
1578178699.299,-7.324,5.859,20.020,65.430,-28.809,0
1578178699.303,-7.812,14.160,35.156,57.129,-0.488,0
1578178699.307,4.883,4.883,23.926,44.922,-26.367,0
1578178699.311,32.715,-4.395,8.301,45.410,-21.973,0
1578178699.315,33.203,3.906,14.160,59.570,2.930,0
1578178699.319,-24.902,5.371,17.578,61.523,-24.414,0
1578178699.323,-16.113,9.766,22.949,52.734,6.836,0
1578178699.326,38.086,12.207,5.859,49.316,10.742,0
1578178699.330,24.902,16.113,0.000,41.504,-10.742,0
1578178699.334,0.000,22.949,31.738,44.434,85.938,0
1578178699.338,-10.742,24.414,31.250,53.223,102.539,0
1578178699.342,6.836,25.879,16.602,48.340,10.254,0
