timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1578267602.340,26.855,30.762,185.547,74.219,26.367,0
1578267602.344,18.555,24.902,164.551,61.035,13.184,0
1578267602.348,34.668,12.207,125.977,60.547,-131.348,0
1578267602.352,27.832,16.602,142.578,69.336,-127.930,0
1578267602.356,16.113,25.879,166.992,49.805,3.418,0
1578267602.360,21.973,27.832,158.203,37.109,50.781,0
1578267602.364,7.324,25.879,157.227,44.922,-58.105,0
1578267602.367,35.645,28.809,167.969,60.547,-119.629,0
1578267602.371,36.621,20.020,157.715,52.734,-20.996,0
1578267602.375,-3.906,30.762,173.828,52.734,45.898,0
1578267602.379,3.418,43.457,169.922,57.617,-27.344,0
1578267602.383,25.391,40.527,131.348,56.152,-97.168,0
1578267602.385,38.086,49.316,133.301,62.500,-30.762,0
1578267602.389,9.766,53.223,143.555,57.617,41.504,0
1578267602.393,4.395,47.363,121.582,43.457,3.418,0
1578267602.397,51.758,54.199,101.074,59.570,-104.004,0
1578267602.401,24.414,61.523,123.047,69.336,-93.262,0
1578267602.405,-9.277,62.500,145.020,60.547,36.133,0
1578267602.409,12.207,61.523,129.395,58.105,46.875,0
1578267602.412,16.113,41.992,82.031,48.828,-91.309,0
1578267602.416,23.438,47.363,96.191,53.711,-114.258,0
1578267602.420,31.250,60.059,147.949,83.496,8.789,0
1578267602.424,20.996,39.551,109.863,61.035,52.246,0
1578267602.428,24.902,30.273,67.871,35.156,-31.250,0
1578267602.430,31.250,34.180,82.031,39.062,-120.605,0
1578267602.434,30.273,41.504,125.000,62.500,-45.898,0
1578267602.438,33.203,41.504,126.953,84.961,31.738,0
1578267602.442,30.273,30.273,95.703,53.223,-37.109,0
1578267602.446,21.484,20.508,90.332,30.762,-118.164,0
1578267602.450,11.719,35.156,109.863,42.969,-42.480,0
1578267602.454,10.254,40.039,124.512,67.871,61.523,0
1578267602.457,4.395,17.090,83.496,82.520,6.836,0
1578267602.461,31.250,32.715,80.078,75.684,-80.078,0
1578267602.465,35.645,48.828,89.844,42.480,-83.496,0
1578267602.469,1.953,38.574,81.543,31.250,27.344,0
1578267602.473,7.324,40.039,104.004,54.688,97.656,0
1578267602.475,18.555,33.203,76.172,46.875,-33.203,0
1578267602.479,4.395,31.738,67.383,34.668,-85.938,0
1578267602.483,6.836,43.945,101.562,47.852,52.246,0
1578267602.487,32.715,53.711,99.121,40.527,105.469,0
1578267602.491,2.930,49.316,58.105,22.949,26.855,0
1578267602.495,-10.742,48.828,40.039,51.270,-45.898,0
1578267602.499,20.020,51.758,52.734,62.012,-21.484,0
1578267602.502,18.066,52.734,77.637,50.293,50.781,0
1578267602.506,36.621,64.453,80.566,43.457,-0.977,0
1578267602.510,44.434,59.082,48.340,30.762,-119.141,0
1578267602.514,19.531,52.246,69.824,59.082,-88.379,0
1578267602.518,34.180,53.223,98.145,86.426,45.410,0
1578267602.520,13.672,38.574,62.988,58.594,55.176,0
1578267602.524,0.977,34.180,32.715,23.926,-80.078,0
1578267602.528,2.441,41.992,60.059,30.273,-96.680,0
1578267602.532,5.859,44.434,80.566,46.387,10.742,0
1578267602.536,30.762,38.574,67.871,49.316,58.105,0
1578267602.540,21.484,15.625,32.227,47.363,-16.602,0
1578267602.544,2.930,12.207,9.277,41.504,-119.629,0
1578267602.547,12.695,43.457,67.871,39.551,-10.742,0
1578267602.551,6.348,45.410,93.750,66.895,90.820,0
1578267602.555,13.184,26.855,39.062,64.941,-13.184,0
1578267602.559,28.320,23.438,20.996,46.387,-77.148,0
1578267602.563,26.855,26.855,50.781,52.246,-7.812,0
1578267602.565,25.879,19.531,72.754,55.664,74.219,0
1578267602.569,-0.488,0.488,40.527,42.969,22.949,0
1578267602.573,8.789,4.395,24.414,42.969,-59.082,0
1578267602.577,26.367,16.602,48.828,51.758,-40.527,0
1578267602.581,10.254,22.949,48.340,53.711,68.848,0
1578267602.585,2.441,13.672,-0.977,41.016,80.566,0
